idx,name,center_x_mm,center_y_mm,center_z_mm,size_x_mm,size_y_mm,size_z_mm,volume_mm3
33,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:1/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:1/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_103135:1/MANIFOLD_SOLID_BREP_103135,83.246,-46.948,-4.225,0.5,3.3,0.5,0.644
34,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:1/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:1/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_103275:1/MANIFOLD_SOLID_BREP_103275,85.746,-46.948,-4.225,0.5,3.3,0.5,0.644
35,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:1/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:2/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_102855:1/MANIFOLD_SOLID_BREP_102855,84.496,-44.648,6.074,5.75,3.3,4.7,50.188
36,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:1/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:2/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_102995:1/MANIFOLD_SOLID_BREP_102995,84.496,-46.948,4.224,0.5,3.3,0.5,0.644
37,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:1/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:2/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_103135:1/MANIFOLD_SOLID_BREP_103135,85.746,-46.948,4.224,0.5,3.3,0.5,0.644
38,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:1/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:2/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_103275:1/MANIFOLD_SOLID_BREP_103275,83.246,-46.948,4.224,0.5,3.3,0.5,0.644
39,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:1/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/PCBA_1:1/PCBA_1,92.144,-41.048,-0.0,12.94,2.7,16.2,221.832
40,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:1/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/WJ-BB00-0235_HORN_22:1/WJ-BB00-0235_HORN_22,93.474,-26.098,-0.0,16.0,4.0,16.0,451.691
41,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:1/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/M2-10-6_2:1/M2-10-6_2,93.474,-42.898,6.5,3.2,7.0,3.2,31.542
42,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:1/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/M2-4LOUSI_1:1/M2-4LOUSI_1,93.474,-46.048,6.5,3.5,5.5,3.5,22.451
